       1 &        0 &     0.000127 \
       2 &     1000 &     0.006565 \
       3 &       36 &     0.000144 \
       4 &     1000 &      0.00432 \
       5 &     1000 &     0.004704 \
       6 &       21 &     0.000117 \
       7 &       32 &     0.000196 \
       8 &       31 &     0.000215 \
       9 &       34 &     0.000264 \
      10 &       38 &     0.000338 \
      11 &       45 &     0.000448 \
      12 &       49 &      0.00054 \
      13 &       54 &     0.000641 \
      14 &       58 &     0.000764 \
      15 &       62 &     0.000886 \
      16 &       68 &     0.001066 \
      17 &       74 &     0.001294 \
      18 &       79 &     0.001452 \
      19 &       84 &      0.00166 \
      20 &       88 &     0.001864 \
      21 &       93 &     0.002112 \
      22 &       96 &      0.00225 \
      23 &      103 &     0.002443 \
      24 &      108 &     0.002731 \
      25 &      113 &     0.002932 \
      26 &      118 &     0.003157 \
      27 &      122 &     0.003422 \
      28 &      127 &     0.003513 \
      29 &      133 &     0.003861 \
      30 &      138 &     0.004239 \
      31 &      139 &      0.00451 \
      32 &      148 &     0.005062 \
      33 &      156 &     0.005639 \
      34 &      157 &      0.00581 \
      35 &      171 &      0.00661 \
      36 &      178 &     0.007221 \
      37 &      183 &     0.007839 \
      38 &      191 &     0.008641 \
      39 &      198 &     0.009273 \
      40 &      205 &     0.009982 \
      41 &      210 &     0.010678 \
      42 &      214 &     0.011359 \
      43 &      221 &     0.012227 \
      44 &      227 &     0.013356 \
      45 &      234 &     0.014055 \
      46 &      238 &     0.015358 \
      47 &      244 &     0.015943 \
      48 &      253 &      0.01717 \
      49 &      261 &      0.01825 \
      50 &      268 &     0.019924 \
      51 &      274 &      0.02089 \
      52 &      284 &     0.022246 \
      53 &      291 &     0.023461 \
      54 &      299 &     0.024985 \
      55 &      303 &     0.026216 \
      56 &      311 &     0.028958 \
      57 &      320 &     0.029639 \
      58 &      327 &     0.031112 \
      59 &      334 &     0.033744 \
      60 &      343 &     0.034838 \
      61 &      349 &     0.036757 \
      62 &      357 &     0.039752 \
      63 &      365 &     0.040627 \
      64 &      372 &     0.043473 \
      65 &      379 &     0.044845 \
      66 &      387 &     0.047755 \
      67 &      387 &     0.048431 \
      68 &      394 &     0.050517 \
      69 &      402 &     0.053015 \
      70 &      409 &     0.055455 \
      71 &      415 &     0.058043 \
      72 &      421 &     0.061304 \
      73 &      430 &     0.064285 \
      74 &      437 &     0.066135 \
      75 &      444 &     0.068616 \
      76 &      453 &      0.07173 \
      77 &      460 &     0.075927 \
      78 &      468 &     0.077957 \
      79 &      476 &     0.082061 \
      80 &      482 &     0.084096 \
      81 &      489 &     0.088446 \
      82 &      498 &     0.091395 \
      83 &      505 &     0.094643 \
      84 &      515 &      0.09857 \
      85 &      521 &     0.102197 \
      86 &      519 &     0.104055 \
      87 &      525 &     0.109573 \
      88 &      533 &     0.111598 \
      89 &      542 &     0.116427 \
      90 &      548 &     0.119616 \
      91 &      555 &     0.123642 \
      92 &      564 &     0.129246 \
      93 &      571 &     0.132897 \
      94 &      577 &     0.137235 \
      95 &      587 &     0.143052 \
      96 &      598 &     0.147228 \
      97 &      604 &     0.152946 \
      98 &      611 &     0.156787 \
      99 &      625 &     0.164416 \
     100 &      632 &     0.169839 \
